,title,lyrics
350,Chia Tay Chia Tay,. . đã có lúc anh chẳng nghi ngờ. về tình yêu hai chúng ta. sẽ mãi mãi dẫu mình có già. dù thời gian có trôi qua. mà cuộc đời đầy phong ba. làm sao giữ mãi giây phút ngọt ngào. trái tim cô đơn đang thét gào. chuyện tình hôm nao giờ hư hao. . . chia tay vào một ngày mà ai hay. tình tan vỡ theo cách không một ai ngờ. bước chân cô đơn sao thẫn thờ. làm sao để quên dù trong cơn mơ. chia tay tự dặn lòng phải quên ngay. tình yêu ấy sẽ mãi không thể đong đầy. cất đi yêu thương bao tháng ngày. cho con tim anh được ngủ say nơi đây. . . đã có lúc anh chẳng nghi ngờ. về tình yêu hai chúng ta. sẽ mãi mãi dẫu mình có già. dù thời gian có trôi qua. mà cuộc đời đầy phong ba. làm sao giữ mãi giây phút ngọt ngào. trái tim cô đơn đang thét gào. chuyện tình hôm nao giờ hư hao. . . chia tay vào một ngày mà ai hay. tình tan vỡ theo cách không một ai ngờ. bước chân cô đơn sao thẫn thờ. làm sao để quên dù trong cơn mơ. chia tay tự dặn lòng phải quên ngay. tình yêu ấy sẽ mãi không thể đong đầy. cất đi yêu thương bao tháng ngày. cho con tim anh được ngủ say. . . đã đến lúc ta nhận ra. chẳng điều gì là mãi mãi. dẫu đã biết em đã xa. nhưng sao trong tim anh chẳng phôi pha. . . chia tay tự dặn lòng phải quên ngay. tình yêu ấy sẽ mãi không thể đong đầy. cất đi yêu thương bao tháng ngày. cho con tim anh được ngủ say. chia tay vào một ngày mà ai hay. tình tan vỡ theo cách không một ai ngờ. bước chân cô đơn sao thẫn thờ. làm sao để quên dù trong cơn mơ. chia tay tự dặn lòng phải quên ngay. tình yêu ấy sẽ mãi không thể đong đầy. cất đi yêu thương bao tháng ngày. cho con tim anh được ngủ say nơi đây
351,Older,i was walking down 57th street towards park. with the same old song in my same old heart. making plans i'm gonna do when i get older. passed a grayhaired man and i found his eyes. it's like he knew my thoughts and he read my mind. saying life is gonna find you when it's supposed to. felt my feet stop short and i turned my head. tried to lean into every word he said then he said. . . when you are younger you'll wish you're older. then when you're older you'll wish for time to turn around. don't let your wonder turn into closure. when you get older when you get older. . . oh oh oh oh. oh oh oh. . . have i killed my thoughts right before their prime. have i bit my tongue one too many times. have i said it all the way i really meant to. if i wait 'til my tomorrow comes. is the waiting all i've ever done. and will i get to get to know myself in the place i am. get to fall in love with another man and understand. . . when you are younger you'll wish you're older. then when you're older you'll wish for time to turn around. don't let your wonder turn into closure. when you get older when you get older. . . oh oh oh oh. oh oh oh. . . when you are younger you'll wish you're older. when you get older you'll wish for time to turn around. don't let your wonder turn into closure. when you get older when you get older. . . oh oh oh oh
352,ぼくらの,. . 白も黒もない世界 憎しみの奥で泣いていた. 立ち止まることも許されない ただその向こうへ. 独り 焦燥 暴走 背負ってきた末路は. 歩みも困難な君をまだ 救う手立てはあるのかい. . . 諦めてしまいそうになったら. どこへでも駆けつける. . . 僕らの想いも全部 離さないよ全部. 余計なお世話 だって隣に居たいのさ それがヒーロー. 紡いだ声も全部 失くさないよ全部. 何度だって立ち上がってみせるから 命燃やしていけ. . . 叫んで 君の気持ちに呼応する魂よ. もう迷わないから 真価の果てにさあいこう. . . 本当は誰よりも 繊細でいたんだ不器用だった. 許されないくらい ひどく傷つけた後悔が. それでもまた君に会えるなら. 今なら言える 誰一人も欠けちゃならない. . . 考えるよりも動いていた. 君が教えてくれたから. . . 伝えたい想いも全部 誰かの為に全部. 弱さを見せて 強くなっていくんだろう それがヒーロー. 救いの声も全部 取り戻すよ全部. 何度だって立ち上がってみせるから もう少しだけ. . . 不確かな存在だっていい. 確かな答えもなくていい. ただこの虚しさと寂しさに. 苛まれようが. 罵倒も声援も期待も失望も. 全部背負って 君がいるから. もう大丈夫 もう一度. 立ち上がってくれマイヒーロー. . . 僕らの想いも全部 離さないよ全部. 余計なお世話 だって隣に居たいのさ それがヒーロー. 紡いだ声も全部 失くさないよ全部. 何度だって立ち上がってみせるから 命燃やしていけ. . . 叫んで 君の気持ちに呼応する魂よ. もう迷わないから 真価の果てに さあいこう
353,Heartbeat,n you feel my heartbeat. . 니가 짓밟고 떠난 심장이. 아직도 뛰고 있어. 그것도 너를 향해. . 잊으려고 아무리 노력해봐도. 새로운 사람들을 아무리 만나봐도. 계속 다시. 또 다시 돌아서면 왜 니 생각만 나는지. 안 할래 그만할래. 아무리 내 자신을 달래고. 또 달래 봐도 아무 소용이 없어. 내 심장이 고장 나 버렸어 왜. . 왜 아직도 나는. 이런 바보 같은 짓을 하는지. 머리론 알겠는데 가슴은 왜. 지 맘대론지. 너를 잡고 놓지를 못해. 지금도 니가 나의 곁에. 있는 것 같애 이별을 믿지 못해. . 누굴 만나도. 마음 속 한곳은 열지 못하고. 계속 니 자릴 비워놔. 올 리가 없는데. 올지도 모른다고. 왜 믿는지 가슴이. 왜 말을 안 듣니. . listen to my heartbeat its beating for you. listen to my heartbeat its waiting for you. 끝났다는 걸 아직도 몰라. 왜 이러는지 이해가 안가. listen to my heartbeat its beating for you. listen to my heartbeat its waiting for you. 너의 생각에 아직도 아파. 가슴이 뛸 때 마다 생각나. . 잊어야 해 잊어야 살 수 있어. 지워 버려야만 해. 안 그러면 내가 죽어. stop trying to get her back. she aint coming. shes gone gotta be moving on. 갔어 오지 않아. 그년 니 생각 하지 않아. . 그녀는 내가 기다리는걸. 전혀 모른 채 잘 살고 있어. 그녀는 이미 날 잊었어. 완전히 지웠어. 왜 나는 그렇게 못하니. . listen to my heartbeat its beating for you. listen to my heartbeat its waiting for you. 끝났다는 걸 아직도 몰라. 왜 이러는지 이해가 안가. listen to my heartbeat its beating for you. listen to my heartbeat its waiting for you. 너의 생각에 아직도 아파. 가슴이 뛸 때 마다 생각나. . my heart is beating faster and faster. my heart is beating faster and faster. my heart is beating faster and faster. my heart is beating faster and faster
354,We'll Meet Again,suddenly you're nowhere to be found. i turn around and everything has changed. looking for a way to work it out. i'm trying to find some peace to navigate. . . the oak tree where i met you. and the writing on the statue. i still remember every word you said. i'm not a soldier but i'm fighting. can you hear me through the silence. i won't give up 'cause there will be a day. we'll meet again. . . we'll meet again. . . everything we wanted turned to gold turned to gold. the path we chose the future on our side. never thought i'd do this on my own on my own. but now i wield the sword you left behind. . . the oak tree where i met you. and the writing on the statue. i still remember every word you said. i'm not a soldier but i'm fighting. can you hear me through the silence. i won't give up 'cause there will be a day. we'll meet again. . . we'll meet again. . . dark for the sunrise. clouds for a blue sky. space for the travelling star. strong from the inside. you're still my lifeline. i feel you wherever you are. . . the oak tree where i met you. and the writing on the statue. i still remember every word you said. i'm not a soldier but i'm fighting. can you hear me through the silence. i won't give up 'cause there will be a day. we'll meet again. . . we'll meet again. we'll meet again
355,Điều Ta Muốn,ta gặp nhau giữa lúc thanh xuân. môi mỉm cười biết nói chi đây. ánh mắt trao nhau pha chút ngại ngùng. dẫu tâm tư muốn giãi bày. qua từng ngày thương vẫn thêm thương. trong lòng luôn vương vấn từng phút mà. dẫu biết năm tháng trên con đường trải ngàn gai. . . có những ngày mưa giăng kín nơi ta ngồi. chẳng một ai nỡ nửa lời than vãn. lắng nghe từng nhịp tim vẫn rung liên hồi. chẳng phải tình yêu tuyệt vời đây sao. . . em có muốn thương anh. em có muốn theo anh đi thật xa. rồi cả hai sẽ cùng đi đến già. cành chồi non ươm giấc mơ. trong cơn say êm đềm hạnh phúc kia. anh muốn thấy em vui. anh muốn thấy em tươi như ngàn hoa. rồi cả hai sẽ cùng đi đến nơi tuyệt vời. dẫu có trăm ngàn lời thì anh đây. vẫn just love and love you. . . gió tìm về mây nắng hòa vào cây. anh nguyện ước mình bền lâu. sẽ tìm về nhau. cho dù ta cách xa phương trời. chẳng thể xóa nhòa đi. ký ức về em trong đời. có lẽ đây là giấc mơ. anh không biết mình. là người con trai may mắn thế. em cho anh những niềm vui. em cho anh những niềm tin. và thật mạnh mẽ trên cuộc hành trình. . . có những ngày mưa giăng kín nơi ta ngồi. chẳng một ai nỡ đưa lời than vãn. lắng nghe từng nhịp tim vẫn rung liên hồi. chẳng phải tình yêu tuyệt vời đây sao. . . em có muốn thương anh. em có muốn theo anh đi thật xa. rồi cả hai sẽ cùng đi đến già. cành chồi non ươm giấc mơ. trong cơn say êm đềm hạnh phúc kia. anh muốn thấy em vui. anh muốn thấy em tươi như ngàn hoa. rồi cả hai sẽ cùng đi đến nơi tuyệt vời. dẫu có trăm ngàn lời thì anh đây. vẫn just love and love you. . . hãy nhớ tên anh luôn ở nơi này. xem mãi bên nhau như giây phút đầu. giữ ngón tay đan thật chặt em nhé. . . em có muốn thương anh. em có muốn theo anh đi thật xa. rồi cả hai sẽ cùng đi đến già. cành chồi non ươm giấc mơ. trong cơn say êm đềm hạnh phúc kia. anh muốn thấy em vui. anh muốn thấy em tươi như ngàn hoa. rồi cả hai sẽ cùng đi đến nơi tuyệt vời. dẫu có trăm ngàn lời thì anh đây. vẫn just love and love you
356,Có Người,chiều nay có người. hẹn anh với nụ cười tươi. chiều nay có người. dạy anh cách làm mặt vui. . dường như anh cũng đã quen rồi. ngày và đêm chỉ công việc thôi. người chợt đến như ánh mặt trời. xoa dịu đi vết thương. . . có người nói anh xấu thế nào. khi nhìn anh ăn lúc chưa no. có người nói anh khó thế nào. khi nhìn gương mặt anh đắn đo. . có người nói anh ấm thế nào. khi ùa đến cuộn trong cánh tay anh. có người cho anh biết thế nào. là dành một đời để yêu một người. . . . . giờ một mình một trời nơi xa. buồn vì để lại đôi ta. vẫn cẩn thận để dành tất cả. niềm vui niềm thương dù anh phải đi xa ôoh. . từng hạt mưa như xé mây trời. ngồi lặng im nén lòng tả tơi. chiều nay không còn những mong đợi. anh chỉ thấy rối bời. . . có người quen lại với một mình. cô độc giữa thành phố lung linh. có người xem lại những khung hình. ngỡ mình trong hạnh phúc trắng tinh. . có người đã quên anh xấu thế nào. khi bình yên ngủ lúc bên nhau. có người đã quên hết kỉ niệm. để lại một người với tiếng mưa đêm. . . không một ai thêm nữa. sẽ không thể yêu thêm nữa. khi tất cả tan vào vầng trăng sáng. hạnh phúc giờ biến thành những ngổn ngang. . . có người nói anh xấu thế nào. khi nhìn anh ăn lúc chưa no. có người nói anh khó thế nào. khi nhìn gương mặt anh đắn đo. . có người nói anh ấm thế nào. khi ùa đến cuộn trong cánh tay anh. có người đã quên hết kỉ niệm. để lại một người với tiếng mưa đêm. .
357,Phi Hành Gia Cô Đơn,ngày thơ bé anh luôn ước mơ bay cao. bay ra khỏi trái đất và biến mất trong không gian. được nhìn ngắm ngàn tinh tú đang vẫy chào. chu du thật tự do tựa như gió trên thiên đàng. . tớ muốn làm gì khi lớn lên. tớ muốn được ghi nhớ tên. trăm năm nghìn năm nữa khi tớ ra đi chớ quên. muốn được bay xa vào không gian mở mắt ra và trông sang. thấy trái đất quay sẽ thật hay dù xuân hạ thu đông sang. . tớ cũng muốn làm họa sĩ đưa bút đi vẽ muôn màu. hay làm chiến sĩ mặc kệ những hiểm nguy sẽ đương đầu. cũng có thể là văn sĩ khắc những suy nghĩ những ước cầu. vì tớ như cuốn tiểu thuyết đang viết ghi những chương đầu. . làm phi công bay đến cao vời nhà thiên văn hay đếm sao trời. hay làm chú bưu tá đưa thư tay đến bao người. tớ sẽ làm điều tớ thích nhất tớ muốn để lại dấu ấn riêng. tớ sẽ làm việc có ích nhất như lời người lớn vẫn khuyên. . tớ muốn làm tất cả kệ muôn vàn vất vả. làm thủy thủ đùa sóng cuộn tan. làm nhà nông gặt thửa ruộng vàng. chẳng biết sẽ trở thành gì trong những thứ từng ước không. giờ tớ làm phi hành gia trong vũ trụ những ước mong. . . và anh ước sẽ được như phi hành gia. đặt chân đến những vì sao của ngân hà. ước mơ ngày bé yêu làm sao. chưa biết thế nào là nỗi cô đơn khi đã bay lên rất cao. . . anh đã làm gì được bao năm. có còn mơ ước sao trăng. anh chẳng còn vô tư nữa lời tự hứa đã xa xăm. anh muốn gì ngoài giấc ngủ. đem những bi hài cất tủ cho tâm trí chút vô nghĩ không lo bị ai dẫn dụ. . vì đời khiến người ứng biến khó chứng kiến phút hiền lương. nửa ngày để kiếm chút tiền lương nửa đêm để viết trút phiền thương. vì anh đã phải thấy nhiều góc khuất đã từng làm sai mấy điều ngốc nhất. từng thấy thành quả bấy nhiêu bỗng mất. lòng chơi vơi còn đấy nhiều chồng chất. . giờ không còn mong muốn gì cao xa. khắc chân lý vào da. anh không mơ cũng không nghĩ về những thứ đời vốn dĩ tạo ra. tạm quên đi những dự định để tự tính các khoản chi. mục nào cần thêm thắt mục nào nên cắt giảm đi. . dù anh vẫn tìm ra cách vượt qua dù chẳng bao giờ tự anh dừng bước. nhưng từ lâu anh đã thấy được ra đó không là những thứ anh từng ước. chuyện mới còn dở dang những chuyện cũ cứ vọng về. giờ anh là phi hành gia trong vũ trụ những bộn bề. . . và anh ước sẽ được như phi hành gia. đặt chân đến những vì sao của ngân hà. ohoohooh. chỉ một mình cô đơn giữa trời cao. trên chính con tàu vũ trụ mà anh luôn ước ao. . . mình muốn làm gì khi lớn lên. mình muốn được ghi nhớ tên. trăm năm nghìn năm nữa khi mình ra đi chớ quên. vậy sao bây giờ mình lại quên chính con người mình hồi nhỏ. những va vấp không phải lý do để bản thân chối bỏ. . mình muốn làm rất nhiều thứ. mình có thể thực hiện ngay. vì đời mình như cuốn tiểu thuyết chờ được viết những chuyện hay. trưởng thành sau những vấp ngã đã quen với biến cố hơn. có chính mình bên cạnh phi hành gia không còn cô đơn. . . hình tượng ấy anh từng thấy phi thường thế. giờ đã lớn anh lại thấy rất ngô nghê. oohoohooh. chỉ một mình cô đơn giữa trời cao. trên chính con tàu vũ trụ mà anh luôn ước ao từ thuở nào
358,It'll Be Okay,are we gonna make it. is this gonna hurt. oh we can try to sedate it. but that never works. yeah. . . i start to imagine a world where we don't collide. it's making me sick but we'll heal and the sun will rise. . . if you tell me you're leaving i'll make it easy. it'll be okay. if we can't stop the bleeding we don't have to fix it. we don't have to stay. i will love you either way oohooh. it'll be o be okay oohooh. . . oh the future we dreamed of. is fading to black oh. and oh thеre's nothing more painful. nothing more painful ohwoah. . . i start to imaginе a world where we don't collide. and it's making me sick but we'll heal and the sun will rise. . . if you tell me you're leaving i'll make it easy. it'll be okay it'll be okay. and if we can't stop the bleeding we don't have to fix it. we don't have to stay don't have to stay. i will love you either way oohooh. it'll be o be okay oohooh. . . i will love you either way. it might be so sweet. it might be so bitter. i will love you either way. it might be so sweet. it might be so bitter oohooh. . . oh if the future we've dreamed of is fading to black. i will love you either way
359,Shinkai,. . 幾星霜　期待もないようなふりをした. 恥ずかし気に　でもわかってる. というだけど. 双曲線　交わらないでいた. 何もわからぬまま　潜っては深く. 息も吸えないで. . . 微睡む白んだ光が僕を呼んだ. 手を伸ばしてくれるなら. . . ああ心はまだ応えられないまま. 深い海凪いでは　理想描いた今. ただ痛いほど願って　忘れはしないから. ああこのまま立ち止まってしまったら. 涙の味でさえ　知らないままだったな. 君と笑って. . . 空想上の世界を泳いでみたい. 黄昏の陽には　思い出が. 流れ落ちた. 消極的　希望のないような口ぶりで. 明日を見上げる空　困ったな. 未来に縋ることさえも. . . 見紛うくらいの煌めく声が覗いた. 傷だらけの夢だけど. . . 鼓動は速く　ざわめいていた. 心海の果てに鳴る音が. 確かに生きた　君との証なら. きっと探していた　零れそうな　呼ぶ声が. 今いくと. . . ああ心はまだ応えられないまま. 深い海凪いでは　理想描いた今. ただ痛いほど願って　忘れはしないから. ああこのまま立ち止まってしまったら. 涙の味でさえ　知らないままだったな. 君と笑って
360,BLIND SPOT,. . 어두운 밤 소리치는 날. 아무도 내 모습 몰라도 괜찮아. 빛나는 도착 지점 뒤 몰락. 했던 모습은 숨겨 누구도 그걸 못 봐. 천하태평하대 하대. 저문 하늘 밑 뜀박질하며 악해 악해. 모든 순간들이 기억 속에 차 있네 차 있네. 맨몸으로 부딪히며 걸어왔네 떳떳하게 yeah yeah. . . they only look at the results and success. blinded by our glowing process. 보이는 게 다가 아냐. 사각지대 속에 감춘. show them what you're made of. your endless nights deserve a loud ovation. shine bright and prove them wrong. 'cause we can feel our progress. . . shining we are the champions. trying to make a difference. 다가오는 빛에 다 와 가는 듯해. i'm still there in the blind spot. shining we are the champions. dying to live for greatness. 바라왔던 끝에 다가서는 그때. we'll meet outside the blind spot. . . 지금 이 순간에도 누가 몰라준대도. i ain't gonna stop oh no no no. 실패가 눈에 밟혀도 두려움을 다 감추고. i'm just gonna stomp and let it go. 보이지 않는 피와 땀 그 과정 속에 있는 나. 이건 나 자신과의 싸움 스스로를 지켜 가. 해가 뜨고 지는 밤 하늘 위의 밝은 달. 우릴 닮은 듯해 어둠을 감춘 채 떠오른다. . . thеy only look at the results and success. blindеd by our glowing process. 보이는 게 다가 아냐. 사각지대 속에 감춘. show them what you're made of. your endless nights deserve a loud ovation. shine bright and prove them wrong. 'cause we can feel our progress. . . shining we are the champions. trying to make a difference. 다가오는 빛에 다 와 가는 듯해. i'm still there in the blind spot. shining we are the champions. dying to live for greatness. 바라왔던 끝에 다가서는 그때. we'll meet outside the blind spot. . . creating treasures in this lightless lonely night. i'm fine never giving up. 불씨가 지펴지는 이곳에서. 만들어 낸 빛이 결국 밝혀. it's time to light up start now. . . shining we are the champions. trying to make a hey. shining we are the champions. dying to live for greatness. shining we are the champions. trying to make a hey. shining we are the champions. dying to live for greatness. shining we are the champions. trying to make a hey. shining we are the champions. dying to live for greatness. shining we are the champions. trying to make a. shining we are the champions. dying to live for greatness
361,I Hope You′re Happy,오늘 너의 웃음 속에서. 크고 깊은 우울함을 봤어. 웃음으로 감추고 있었지만. 나도 모르게 봤어. . 차라리 울었으면 좋겠어. 그럼 모른척하고 있을게. 묻지 않고 아무 말 안 하며. 네 옆에 있을게. . 난 네가 행복했으면 좋겠어. 나 때문이 아니더라도. 난 네가 사랑을 하면 좋겠어. 설레어 밤새 잠들지 못하게. . 너의 그 모든 슬픔 속에서. 내 손을 잡고 나와준다면. 웃음으로 가득 찬 네 얼굴을. 본다면 좋겠어. . 음
362,Chờ Đợi Có Đáng Sợ,i hoàng hôn hắt hiu. từng vệt mong manh. khi dòng xe nối đuôi nhau. trôi qua thật nhanh. . khi bàn tay vốn thân quen. chẳng còn nơi đây. là lúc. nỗi nhớ ùa về. . khi tình yêu bỗng nhiên. chẳng dành cho anh. khi lời hứa với em. sao quên thật nhanh. . khi nụ hôn đánh rơi. từng nhịp yêu thương. là lúc kết thúc thật rồi. . kỷ niệm có nhau một thời. là lúc anh phải đoán xem. từng ngày không em. rồi sẽ ra sao. . đôi khi nhầm một chuyến xe. lại đưa chúng ta về nơi muốn đến. nhưng em lại chẳng muốn quay về. về nơi chúng ta dừng lại. . anh gom từng vệt nắng cuối trời. để thắp sáng hy vọng rằng em sẽ trở về. chờ đợi đâu đáng sợ. chỉ là anh không biết chờ đến bao giờ. . khi hoàng hôn bỗng nhiên. chẳng dành cho anh. khi tình yêu bỗng nhiên. trôi qua thật nhanh. . khi nụ hôn đánh rơi. từng nhịp yêu thương. là lúc kết thúc thật rồi. . kỷ niệm có nhau một thời. là lúc anh phải đoán xem. từng ngày không em. rồi sẽ sẽ ra sao. . đôi khi nhầm một chuyến xe. lại đưa chúng ta về nơi muốn đến. nhưng em lại chẳng muốn quay về. về nơi chúng ta dừng lại. . anh gom từng vệt nắng cuối trời. để thắp sáng hy vọng rằng em sẽ trở về. chờ đợi đâu đáng sợ. chỉ là anh không biết chờ đến bao giờ. . đôi khi nhầm một chuyến xe. lại đưa chúng ta về nơi muốn đến. nhưng em lại chẳng muốn quay về. về nơi chúng ta dừng lại. . anh gom từng vệt nắng cuối trời. để thắp sáng hy vọng rằng em sẽ trở về. chờ đợi đâu đáng sợ. chỉ là anh không biết chờ đến bao giờ. . chờ đợi đâu đáng sợ. chờ đợi có đáng sợ. hỡi em
363,Overdose,come in. . . 모든 걸 걸고 널 들이킨 나. 이젠 돌이킬 수도 없다. 이건 분명 위험한 중독. so bad no one can stop her. . . her love her love. 오직 그것만 바라. 그녀의 사랑 하나뿐인걸. 치명적인 fantasy. 황홀함 그 안에 취해. . . oh she wants me. oh shes got me. oh she hurts me. 좋아 더욱 갈망하고 있어. . . someone call the doctor 날 붙잡고 말해 줘. 사랑은 병 중독 overdose. 시간이 지날수록 통제는 힘들어져. 점점 깊숙이 빠져 간다 ehoh. . . too much 너야. your love 이건 overdose. too much 너야. your love 이건 overdose. . . 놀리는 그 손길로 온 너. 본능은 너를 갈구해 좀 더. 가빠진 숨으로 질식된 후에. 전율 그리곤 한숨. . . her love her love. 독한 약 같아 내겐. 헤어나올 수 없는 destiny. 피는 뜨거워졌지 yeaheh. 마침내 모두 지배해. . . oh she wants me. oh shes got me. oh she hurts me. 계속 너만 그리고 그린 나. . . someone call the doctor 날 붙잡고 말해 줘. 사랑은 병 중독 overdose. 시간이 지날수록 통제는 힘들어져. 점점 깊숙이 빠져 간다 ehoh. . . too much 너야. your love 이건 overdose. too much 너야. your love 이건 overdose. . . 모두 다 내게 물어 와. 내가 변한 것 같대. 심장에 니가 박혀 버린 듯. 세상이 온통 너인데. 멈출 수 없어 이미 가득한 널. 지금 이 순간 youre in my heaheart exo. . . yeah 난 너를 맛보고 너를 마신다 마신다. 온몸이 떨려 와 계속 들이켜도 아직 모자라. 손끝까지 전율시킨 갈증. 이 순간을 잡아 잡아 질주를 멈추지 마. 너무 좋아 i cant stop hey doctor. 지금 이대로 괜찮나 나. 주체할 수 없는 이끌림. 속에 녹아내려 가 난. 이 느낌 없이는 죽은 거나. 마찬가진걸 내가 사는 이유. 난 너란 달콤함에 중독 someone call the doctor. . . someone call the doctor 난 그녀가 필요해 heyehey. 하루도 난 버틸 수 없어 버티지 못해. 벗어나고 싶지 않은 hey 천국 같은 너. 긴긴 이 덫은 yeaheh 아름다워 ehoh. . . too much too much 너야. your love your love 이건 overdose. too much 너야. your love 이건 overdose
364,exes,oh i'm sorry sorry that you love me hahahahahaha. changed my mind up like it's origami. oh i'm sorry sorry that you love me hahahahahaha. changed my mind up like it's origami. . . kisskisskiss kisses to my exes who don't give a shit about me. kisses kisses to the next ones who think they can live without me. we make up then we break up then they swear they'll never call me. but i still keep their number and their necklace kisses to my exes. . . happens еvery time. i don't mean mеan to be cold but that's how i get oh. me and all my pride. tryna burn down every damn  any time we can and again. . . i'm a i'm a i'm a wild ride that never stops. i'm a i'm a i'm a hard case they can't unlock. and i and i swear i care a lot just not enough. let's just say it is what it is and was what it was. . . kisskisskiss kisses to my exes who don't give a shit about me. kisses kisses to the next ones who think they can live without me. we make up then we break up then they swear they'll never call me. but i still keep their number and their necklace kisses to my exes. . . oh i'm sorry sorry that you love me hahahahahaha. changed my mind up like it's origami. oh i'm sorry sorry that you love me ohohoh. changed my mind up like it's ori. . . say say i wanna go there then i wanna leave. make another promise that i can't keep. i don't ever know what i want but that's what you want. if you're down well then don't blame me. breakin' it all before it starts makin' it all up in my head. but i just overshare 'bout things i never meant. . . i'm a i'm a i'm a wild ride that never stops. i'm a i'm a i'm a hard case they can't unlock. and i and i swear i care a lot just not enough. let's just say it is what it is and was what it was was. . . kisses to my exes who don't give a shit about me. kisses kisses to the next ones who think they can live without me nah nah. we make up then we break up then they swear they'll never call me yeah. but i still keep their number and their necklace kisses to my exes. . . oh i'm sorry sorry that you love me hahahahahaha. changed my mind up like it's origami. oh i'm sorry sorry that you love me hahahahahaha. changed my mind up like it's origami haha. . . kisses to my exes i know that i did you dirty. little messed up little selfish we ain't married i ain't thirty. yeah we hooked up then we broke up then i said you really hurt me. but i still got your number and your necklace kisses to my exes
365,Big Energy,got that real big energy uhhuh. got that big big energy energy. hey daddy. when you gon' stop playin' yeah. . . bad bitch i could be your fantasy yeah. i can tell you got big dick energy uhhuh. it ain't too many niggas that can handle me yeah. but i might let you try it off the hennessy uh. make 'em sing to this pussy like a melody make 'em sang. and if your bitch ain't right i got the remedy ooh. it ain't too many niggas that can handle me ayy. bad bitch i could be your fantasy ayy ayy. . . tell me how you want it huh. three two one and i'm on it on it. feel good don't it don't it. hood bitch fuck you in a bonnet yeah. i'ma bust it on a pole like onyx ooh. i'm just bein' honest uhhuh. pussy juicy minutе maid oh. but can't do it one minute man hell no. not a sidе or a main. i'm the only bitch he entertain yeah. spendin' his mine in the bank in the bank. i like what i see yeah. a boss like you need a boss like me uhhuh. daddy from the street so he move lowkey. tryna rock that mic' like karaoke oh. . . on the count of three bad bitches get money money. broke niggas to the left we don't want it we don't want. i'm the one these bitches hate but they can't get past uhhuh. pretty face no waist and a big ol' ass ha. . . bad bitch i could be your fantasy yeah. i can tell you got big dick energy uhhuh. it ain't too many niggas that can handle me yeah. but i might let you try it off the hennessy uh. make 'em sing to this pussy like a melody make 'em sang. and if your bitch ain't right i got the remedy ooh. it ain't too many niggas that can handle me ayy. bad bitch i could be your fantasy ayy ayy. . . got that real big energy. got that big big energy big dick energy. got that real big energy. got that big big energy big dick energy. . . yuh tell me how you want it want it. three two one camera rollin' ooh. do it slow motion uhhuh. real bitch them other hoes phony uh. all that big talk latto put 'em on it latto. i'm just bein' honest yeah. lingerie dolce ha. blindfold yeah tie me to the bed yeah while we roleplay yeah. can't skip foreplay kill the pussy cold case uhhuh. i'm a boss bitch but tonight we do it your way. . . on the count of three bad bitches get money get money. broke niggas to the left we don't want it hell nah. if you ever see me broke i'm probably rockin' a cast. pretty face no waist with a big ol' bag ha. . . bad bitch i could be your fantasy yeah. i can tell you got big dick energy uhhuh. it ain't too many niggas that can handle me yeah. but i might let you try it off the hennessy uh. make 'em sing to this pussy like a melody make 'em sang. and if your bitch ain't right i got the remedy ooh. it ain't too many niggas that can handle me ayy. bad bitch i could be your fantasy ayy ayy. . . got that real big energy. got that big big energy big dick energy. got that real big energy. got that big big energy big dick energy
366,It's ok I'm ok,mm. yeah uh. . . see you so excited mm. you got him locked down mmh yeah. you're movin' like i did mm. before i found out. he ain't just a prettyfaced talker. good with his money close to his mother. you're seein' onesided sided. you got him right now. . . and she be like he's so perfect. i be like oh what version. ain't nobody got me this nervous. oh baby i been there hey. and right in that same position hey. so baby don't get this twisted hey. no nothin' could make me miss it. take him he's yours. . . it's okay i'm okay had him in the first place. it's okay i'm okay i'm okay yeah yeah. it's okay i'm okay i don't really gotta say. it's okay okay. . . you can have him anyway way. anyway way. you can have him anyway way. anyway oh oh oh oh. . . was such a romantic romantic. you got me like fuck that. some months and some long flights. now i can't go near that. . . and she be like he's so perfect. i be like oh what version. ain't nobody got me this nervous nervous. oh baby i've been there hey. and right in that same position hey. so baby don't get this twisted hey. no nothin' could make me miss it. take him he's yours. . . it's okay i'm okay had him in the first place. it's okay i'm okay i'm okay. it's okay i'm okay i don't really gotta say. it's okay okay. . . you can have him anyway way. anyway way. you can have him anyway way. anyway way way way. . . it's okay i'm okay had him in the first place. it's okay i'm okay i'm okay i'm okay. it's okay i'm okay i don't really gotta say it's okay. it's okay. . . you can have him anyway anyway. anyway anyway. you can have him anyway anyway. anyway oh oh oh oh. . . i don't want him anyway girl take him. i don't want him anyway girl take him. i don't want him anyway girl take him it's okay take him. i don't want him yeah i don't i don't want him yeah i don't. i don't want him anyway anyway girl take him want him anyway. i don't want him anyway anyway girl take him anyway. i don't it's okay it's okay take him anyway. i don't want him yeah i don't i don't want him
